,Atlanta,Austin,Baltimore,Boston,Chicago,Dallas,Denver,Houston,Indianapolis,Jacksonville,Las Vegas,Los Angeles,Memphis,Miami,New Orleans,New York,Newark,Oakland,Philadelphia,Phoenix,Portland,San Antonio,San Diego,San Francisco,San Jose,Seattle,Tampa,Tucson,DC
Atlanta,0,1315,927,1505,944,1157,1945,1127,687,459,2801,3108,541,974,682,1200,1190,3421,1070,2555,3488,1417,3035,3434,3392,3503,670,2472,871
Austin,1315,0,2166,2724,1572,294,1241,236,1489,1542,1742,1970,900,1790,738,2430,2418,2400,2308,1397,2747,118,1857,2412,2356,2846,1505,1270,2116
Baltimore,927,2166,0,578,973,1947,2422,2010,819,1096,3377,3722,1273,1539,1607,272,262,3929,144,3217,3789,2278,3685,3942,3912,3744,1371,3172,57
Boston,1505,2724,578,0,1367,2491,2839,2579,1295,1636,3810,4166,1824,2022,2184,306,315,4317,435,3691,4073,2838,4147,4330,4307,3997,1903,3662,634
Chicago,944,1572,973,1367,0,1290,1474,1511,263,1387,2444,2800,773,1912,1340,1145,1131,2968,1069,2332,2821,1690,2782,2981,2954,2787,1615,2315,956
Dallas,1157,294,1947,2491,1290,0,1064,362,1228,1458,1718,1990,675,1785,711,2204,2191,2368,2086,1422,2623,407,1899,2381,2330,2701,1475,1324,1900
Denver,1945,1241,2422,2839,1474,1064,0,1412,1605,2356,973,1335,1411,2773,1737,2617,2602,1510,2532,942,1578,1290,1339,1524,1491,1640,2446,991,2395
Houston,1127,236,2010,2579,1511,362,1412,0,1392,1319,1972,2205,778,1554,510,2279,2267,2629,2154,1631,2949,305,2092,2641,2587,3038,1271,1506,1958
Indianapolis,687,1489,819,1295,263,1228,1605,1392,0,1125,2558,2904,617,1651,1147,1035,1021,3114,937,2406,3025,1608,2870,3128,3096,3004,1357,2370,790
Jacksonville,459,1542,1096,1636,1387,1458,2356,1319,1125,0,3162,3447,949,526,810,1344,1338,3798,1220,2880,3917,1624,3357,3811,3765,3942,276,2779,1041
Las Vegas,2801,1742,3377,3810,2444,1718,973,1972,2558,3162,0,368,2261,3501,2426,3582,3568,658,3493,412,1215,1723,427,670,615,1401,3193,585,3346
Los Angeles,3108,1970,3722,4166,2800,1990,1335,2205,2904,3447,368,0,2573,3755,2684,3933,3919,552,3841,574,1329,1932,180,559,492,1544,3457,710,3689
Memphis,541,900,1273,1824,773,675,1411,778,617,949,2261,2573,0,1404,577,1533,1520,2880,1413,2026,2968,1016,2506,2893,2851,2997,1075,1954,1226
Miami,974,1790,1539,2022,1912,1785,2773,1554,1651,526,3501,3755,1404,0,1075,1756,1753,4153,1643,3182,4349,1845,3646,4166,4115,4392,330,3060,1487
New Orleans,682,738,1607,2184,1340,711,1737,510,1147,810,2426,2684,577,1075,0,1879,1869,3078,1750,2111,3312,815,2581,3091,3039,3375,773,1997,1551
New York,1200,2430,272,306,1145,2204,2617,2279,1035,1344,3582,3933,1533,1756,1879,0,14,4113,130,3441,3922,2543,3904,4126,4099,3863,1615,3404,328
Newark,1190,2418,262,315,1131,2191,2602,2267,1021,1338,3568,3919,1520,1753,1869,14,0,4098,121,3427,3909,2531,3890,4112,4085,3849,1610,3390,319
Oakland,3421,2400,3929,4317,2968,2368,1510,2629,3114,3798,658,552,2880,4153,3078,4113,4098,0,4034,1040,858,2380,731,13,61,1089,3841,1203,3903
Philadelphia,1070,2308,144,435,1069,2086,2532,2154,937,1220,3493,3841,1413,1643,1750,130,121,4034,0,3342,3869,2421,3807,4047,4019,3817,1492,3300,199
Phoenix,2555,1397,3217,3691,2332,1422,942,1631,2406,2880,412,574,2026,3182,2111,3441,3427,1040,3342,0,1618,1362,480,1050,988,1792,2884,173,3180
Portland,3488,2747,3789,4073,2821,2623,1578,2949,3025,3917,1215,1329,2968,4349,3312,3922,3909,858,3869,1618,0,2764,1500,861,912,233,4022,1790,3775
San Antonio,1417,118,2278,2838,1690,407,1290,305,1608,1624,1723,1932,1016,1845,815,2543,2531,2380,2421,1362,2764,0,1811,2392,2335,2872,1570,1226,2228
San Diego,3035,1857,3685,4147,2782,1899,1339,2092,2870,3357,427,180,2506,3646,2581,3904,3890,731,3807,480,1500,1811,0,737,670,1711,3354,587,3650
San Francisco,3434,2412,3942,4330,2981,2381,1524,2641,3128,3811,670,559,2893,4166,3091,4126,4112,13,4047,1050,861,2392,737,0,67,1092,3854,1213,3916
San Jose,3392,2356,3912,4307,2954,2330,1491,2587,3096,3765,615,492,2851,4115,3039,4099,4085,61,4019,988,912,2335,670,67,0,1141,3804,1150,3885
Seattle,3503,2846,3744,3997,2787,2701,1640,3038,3004,3942,1401,1544,2997,4392,3375,3863,3849,1089,3817,1792,233,2872,1711,1092,1141,0,4062,1962,3734
Tampa,670,1505,1371,1903,1615,1475,2446,1271,1357,276,3193,3457,1075,330,773,1615,1610,3841,1492,2884,4022,1570,3354,3854,3804,4062,0,2770,1316
Tucson,2472,1270,3172,3662,2315,1324,991,1506,2370,2779,585,710,1954,3060,1997,3404,3390,1203,3300,173,1790,1226,587,1213,1150,1962,2770,0,3133
DC,871,2116,57,634,956,1900,2395,1958,790,1041,3346,3689,1226,1487,1551,328,319,3903,199,3180,3775,2228,3650,3916,3885,3734,1316,3133,0